Name,Category,Address,Google Business URL,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source
Base Gym,Fitness,"60 Christopher Columbus Dr, Jersey City, NJ 07302, United States",https://goo.gl/maps/dN6mg4BHfLjBMtbt6,40.719496,-74.042259,1,range_interpolation,60,Christopher Columbus Dr,,,Jersey City,NJ,Hudson County,7302,US,TIGER/Line® dataset from the US Census Bureau
Surya Yoga Academy,Fitness,"341 Grove St, Jersey City, NJ 07302, United States",https://g.page/suryajc?share,40.720536,-74.043125,1,rooftop,341,Grove St,,,Jersey City,NJ,Hudson County,7302,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
Jane Do,Fitness,"160 Newark Ave 3rd floor, Jersey City, NJ 07302, United States",https://g.page/JaneDOJerseyCity?share,40.720989,-74.044608,1,rooftop,160,Newark Ave,Fl,3,Jersey City,NJ,Hudson County,7302,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
Jivamukti Yoga,Fitness,"171 Newark Ave 2nd Floor, Jersey City, NJ 07302, United States",https://goo.gl/maps/mvKt2KDqsgajP89k9,40.720874,-74.045254,1,rooftop,171,Newark Ave,Fl,2,Jersey City,NJ,Hudson County,7302,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
Crossfit Jersey City,Fitness,"109 Christopher Columbus Dr, Jersey City, NJ 07302, United States",https://g.page/CrossFitJerseyCity?share,40.71676,-74.032967,1,range_interpolation,109,Christopher Columbus Dr,,,Jersey City,NJ,Hudson County,7302,US,TIGER/Line® dataset from the US Census Bureau
Yoga Shunya,Fitness,"275 Grove St, Jersey City, NJ 07302, United States",https://goo.gl/maps/nc4Pqc1PSX3susWRA,40.717776,-74.044376,1,rooftop,275,Grove St,,,Jersey City,NJ,Hudson County,7302,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
At the Beginning Fitness,Fitness,"244 Grove St, Jersey City, NJ 07302, United States",https://goo.gl/maps/UbzqY6ex6eYHGG1M7,40.716411,-74.044419,1,rooftop,244,Grove St,,,Jersey City,NJ,Hudson County,7302,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
Maximum Motion Fitness,Fitness,"262 Grove St, Jersey City, NJ 07302",https://goo.gl/maps/5r1b9hKS5vkpEMZv8,40.71696,-74.044267,1,range_interpolation,262,Grove St,,,Jersey City,NJ,Hudson County,7302,US,TIGER/Line® dataset from the US Census Bureau
WeStrong Strength & Conditioning,Fitness,"41 Marin Blvd, Jersey City, NJ 07302, United States",https://goo.gl/maps/wYdAboT9xQzvuKXX8,40.720455,-74.04133,0.6,street_center,,Marin Blvd,,,Jersey City,NJ,Hudson County,7302,US,TIGER/Line® dataset from the US Census Bureau
Fitness Blueprint,Fitness,"100 Dudley St, Jersey City, NJ 07302, United States",https://goo.gl/maps/ZwAsnUaH84StWan16,40.712872,-74.039068,1,rooftop,100,Dudley St,,,Jersey City,NJ,Hudson County,7302,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
Own Your Fitness,Fitness,"33 Hudson St, Jersey City, NJ 07302, United States",https://g.page/personaltrainerjc?share,40.712628,-74.034947,1,range_interpolation,33,Hudson St,,,Jersey City,NJ,Hudson County,7302,US,TIGER/Line® dataset from the US Census Bureau
Row House,Fitness,"70 Hudson St Suite 125, Jersey City, NJ 07302, United States",https://goo.gl/maps/iSHHYp4TMrfumCLs5,40.71445,-74.033853,1,rooftop,70,Hudson St,Ste,125,Jersey City,NJ,Hudson County,7302,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
The Body Lab,Fitness,"239 Washington St, Jersey City, NJ 07302, USA",https://goo.gl/maps/wTqKwdmkFHG34Wjx5,40.715781,-74.037919,1,rooftop,239,Washington St,,,Jersey City,NJ,Hudson County,7302,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
Hamilton Health & Fitness,Fitness,"161 Erie St, Jersey City, NJ 07302, United States",https://g.page/HHFJC?share,40.727488,-74.043603,1,range_interpolation,161,Erie St,,,Jersey City,NJ,Hudson County,7302,US,TIGER/Line® dataset from the US Census Bureau
Project Pilates,Fitness,"231 Pavonia Ave, Jersey City, NJ 07302, United States",https://goo.gl/maps/HXXv2z6f5GFYokC77,40.727605,-74.046266,1,range_interpolation,231,Pavonia Ave,,,Jersey City,NJ,Hudson County,7302,US,TIGER/Line® dataset from the US Census Bureau
My Gym,Fitness,"252 9th St, Jersey City, NJ 07302, United States",https://goo.gl/maps/uFqVv4VoHQsobcc39,40.728637,-74.044209,1,rooftop,252,9th St,,,Jersey City,NJ,Hudson County,7302,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
RushCycling,Fitness,"189 Brunswick St, Jersey City, NJ 07302, United States",https://goo.gl/maps/iHzq5Vuq8fnKvrap7,40.726484,-74.050528,1,rooftop,189,Brunswick St,,,Jersey City,NJ,Hudson County,7302,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
The Little Gym of Jersey City,Fitness,"380 Newark Ave Units 101 & 102, Jersey City, NJ 07302, United States",https://g.page/thelittlegymjerseycity?share,40.726354,-74.052409,1,rooftop,380,Newark Ave,Ste,102,Jersey City,NJ,Hudson County,7302,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
Power-House Pilates,Fitness,"189 Brunswick St, Jersey City, NJ 07302, United States",https://goo.gl/maps/mcQYnuPLPoggjdi4A,40.726484,-74.050528,1,rooftop,189,Brunswick St,,,Jersey City,NJ,Hudson County,7302,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
JC Barre,Fitness,"419 Monmouth St, Jersey City, NJ 07302, United States",https://goo.gl/maps/EZfndSftCgbQ139r8,40.724256,-74.049145,1,rooftop,419,Monmouth St,,,Jersey City,NJ,Hudson County,7302,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
Vu,Food & Beverage,"2 Exchange Pl, Jersey City, NJ 07302, United States",https://goo.gl/maps/uJPPUJ1Y1VNV3gCr6,40.716119,-74.03119,1,rooftop,2,Exchange Pl,,,Jersey City,NJ,Hudson County,7302,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
Au Bon Pain,Food & Beverage,"101 Hudson St #1, Jersey City, NJ 07302, United States",https://goo.gl/maps/FaGuVy56xLrXFE6d9,40.716073,-74.035001,1,rooftop,101,Hudson St,Unit,1,Jersey City,NJ,Hudson County,7302,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
Lokal Eatery & Bar,Food & Beverage,"2 2nd St, Jersey City, NJ 07302, United States",https://g.page/lokal-eatery-bar?share,40.721566,-74.031736,1,rooftop,2,2nd St,,,Jersey City,NJ,Hudson County,7302,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
DomoDomo,Food & Beverage,"200 Greene St, Jersey City, NJ 07311, United States",https://g.page/domodomo-jersey-city?share,40.720685,-74.034687,1,range_interpolation,200,Greene St,,,Jersey City,NJ,Hudson County,7311,US,TIGER/Line® dataset from the US Census Bureau
Gregory's Coffee,Food & Beverage,"10 Exchange Pl, Jersey City, NJ 07302, United States",https://goo.gl/maps/UzEXhE8NjL67m2su9,40.716671,-74.033331,1,rooftop,10,Exchange Pl,,,Jersey City,NJ,Hudson County,7302,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
Exchange Place Market,Food & Beverage,"10 Exchange Pl, Jersey City, NJ 07302, United States",https://goo.gl/maps/K71kicYXGhjRFxhM7,40.716671,-74.033331,1,rooftop,10,Exchange Pl,,,Jersey City,NJ,Hudson County,7302,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
Starbucks,Food & Beverage,"111 Town Square Pl, Jersey City, NJ 07310, United States",https://goo.gl/maps/MtNjr1Vo1uUM5WjC9,40.726289,-74.033733,1,rooftop,111,Town Square Pl,,,Jersey City,NJ,Hudson County,7310,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
Rooftop at Exchange Place,Food & Beverage,"1 Exchange Pl, Jersey City, NJ 07302, United States",https://g.page/rooftopxp?share,40.715918,-74.033868,1,rooftop,1,Exchange Pl,,,Jersey City,NJ,Hudson County,7302,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
Potbelly,Food & Beverage,"15 Exchange Pl #100, Jersey City, NJ 07302, United States",https://goo.gl/maps/Tx1ToMx2uvEG1nw48,40.715854,-74.033397,1,rooftop,15,Exchange Pl,#,100,Jersey City,NJ,Hudson County,7302,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
Ample Hills Creamery,Food & Beverage,"200 Greene St, Jersey City, NJ 07302, United States",https://goo.gl/maps/249iGMXJstUcd7Sg7,40.720685,-74.034687,0.99,range_interpolation,200,Greene St,,,Jersey City,NJ,Hudson County,7311,US,TIGER/Line® dataset from the US Census Bureau
9 Bar Café at Urby,Food & Beverage,"200 Greene St, Jersey City, NJ 07311, United States",https://goo.gl/maps/xG3MkPkPe2wMufFJ6,40.720685,-74.034687,1,range_interpolation,200,Greene St,,,Jersey City,NJ,Hudson County,7311,US,TIGER/Line® dataset from the US Census Bureau
Maggie's Farm Espresso,Food & Beverage,"88 Morgan St, Jersey City, NJ 07302, United States",https://goo.gl/maps/QeKvBnJtC8TSikJ77,40.719968,-74.035825,1,rooftop,88,Morgan St,,,Jersey City,NJ,Hudson County,7302,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
Hudson's Grill,Food & Beverage,"160 Greene St, Jersey City, NJ 07302, United States",https://goo.gl/maps/sp5YA5M19okMwYmU8,40.720132,-74.034826,1,range_interpolation,160,Greene St,,,Jersey City,NJ,Hudson County,7302,US,TIGER/Line® dataset from the US Census Bureau
Amiya,Food & Beverage,"101 Hudson St, Jersey City, NJ 07302, United States",https://goo.gl/maps/V553q3dz46aVKe4ZA,40.716073,-74.035001,1,rooftop,101,Hudson St,,,Jersey City,NJ,Hudson County,7302,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
Porto Leggero,Food & Beverage,"185 Hudson St, Jersey City, NJ 07311, United States",https://goo.gl/maps/wdttkZ1aBwSooXLX9,40.718622,-74.034986,1,rooftop,185,Hudson St,,,Jersey City,NJ,Hudson County,7311,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
Cava,Food & Beverage,"30 Montgomery St, Jersey City, NJ 07302, United States",https://goo.gl/maps/AjE7SoVFR4ft1HX79,40.716919,-74.035254,1,rooftop,30,Montgomery St,,,Jersey City,NJ,Hudson County,7302,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
City Diner,Food & Beverage,"31 Montgomery St, Jersey City, NJ 07302, United States",https://goo.gl/maps/HULpw5F3nZEYDsVb9,40.716335,-74.035597,1,rooftop,31,Montgomery St,,,Jersey City,NJ,Hudson County,7302,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
Five Guys,Food & Beverage,"101 Hudson St, Jersey City, NJ 07302, United States",https://goo.gl/maps/cPZ73ahw5X2WQmMo9,40.716073,-74.035001,1,rooftop,101,Hudson St,,,Jersey City,NJ,Hudson County,7302,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
Iron Monkey,Food & Beverage,"99 Greene St, Jersey City, NJ 07302, United States",https://goo.gl/maps/nq3arHSjMX34cLKP9,40.716009,-74.036029,1,rooftop,99,Greene St,,,Jersey City,NJ,Hudson County,7302,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
Honshu Sushi,Food & Beverage,"95 Greene St, Jersey City, NJ 07302, United States",https://g.page/Honshujc?share,40.715509,-74.036389,1,rooftop,95,Greene St,,,Jersey City,NJ,Hudson County,7302,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
Greene Hook Bar & Kitchen,Food & Beverage,"70 Greene St, Jersey City, NJ 07302, United States",https://goo.gl/maps/8KmU8n55qVR6RrJa9,40.714746,-74.035285,1,rooftop,70,Greene St,,,Jersey City,NJ,Hudson County,7302,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
Rumi Turkish Grill,Food & Beverage,"67 Greene St, Jersey City, NJ 07302, United States",https://goo.gl/maps/TuE28KwvhWcjVC6MA,40.714614,-74.03625,1,rooftop,67,Greene St,,,Jersey City,NJ,Hudson County,7302,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
Sky Thai,Food & Beverage,"62 Morris St, Jersey City, NJ 07302, United States",https://goo.gl/maps/yidxqRx8dVC5qiN57,40.713881,-74.036502,1,rooftop,62,Morris St,,,Jersey City,NJ,Hudson County,7302,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
John's Pizzeria,Food & Beverage,"87 Sussex St, Jersey City, NJ 07302, United States",https://goo.gl/maps/cAJLERScrCfvpiLJ7,40.714454,-74.03737,1,range_interpolation,87,Sussex St,,,Jersey City,NJ,Hudson County,7302,US,TIGER/Line® dataset from the US Census Bureau
Krispy Pizza,Food & Beverage,"33 Hudson St, Jersey City, NJ 07302, United States",https://goo.gl/maps/Q9S3zuuf9KGVRnrF7,40.712628,-74.034947,1,range_interpolation,33,Hudson St,,,Jersey City,NJ,Hudson County,7302,US,TIGER/Line® dataset from the US Census Bureau
Cosi,Food & Beverage,"535 Washington Blvd, Jersey City, NJ 07310, United States",https://goo.gl/maps/ioPmcgN4NL9SdQ2H7,40.730911,-74.034529,1,range_interpolation,535,Washington Blvd,,,Jersey City,NJ,Hudson County,7310,US,TIGER/Line® dataset from the US Census Bureau
Satis Bistro,Food & Beverage,"212 Washington St, Jersey City, NJ 07302, United States",https://g.page/satisbistro?share,40.714401,-74.037541,1,rooftop,212,Washington St,,,Jersey City,NJ,Hudson County,7302,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
Bistro La Source,Food & Beverage,"85 Morris St, Jersey City, NJ 07302, United States",https://g.page/Bistro-La-Source-173898632667883?share,40.713644,-74.037646,1,rooftop,85,Morris St,,,Jersey City,NJ,Hudson County,7302,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
Light Horse Tavern,Food & Beverage,"199 Washington St, Jersey City, NJ 07302, United States",https://goo.gl/maps/Jhr1p3ghKfEQxTM39,40.714012,-74.038317,1,rooftop,199,Washington St,,,Jersey City,NJ,Hudson County,7302,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
Sam A.M.,Food & Beverage,"112 Morris St, Jersey City, NJ 07302, United States",https://goo.gl/maps/mvs6YQYMYq5xbMSs8,40.714257,-74.039003,1,rooftop,112,Morris St,,,Jersey City,NJ,Hudson County,7302,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
Tino's Artisinal Pizza Co,Food & Beverage,"199 Warren St, Jersey City, NJ 07302, United States",https://g.page/tino-s-artisan-pizza-co-?share,40.714219,-74.039803,1,range_interpolation,199,Warren St,,,Jersey City,NJ,Hudson County,7302,US,TIGER/Line® dataset from the US Census Bureau
